name,family,fs150_value,sim_iris_value,delta_fs_minus_sim,status,sim_source,px4_group,px4_type,fs_type
TC_A2_TREF,Other,,25,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X0_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X0_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X0_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X1_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X1_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X1_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X2_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X2_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X2_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X3_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X3_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_X3_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_A3_TMAX,Other,,100,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_TMIN,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_TREF,Other,,25,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X0_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X0_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X0_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X1_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X1_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X1_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X2_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X2_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X2_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X3_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X3_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A3_X3_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B0_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_B0_TMAX,Other,,75,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B0_TMIN,Other,,5,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B0_TREF,Other,,40,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B0_X0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B0_X1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B0_X2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B0_X3,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B0_X4,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B0_X5,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B1_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_B1_TMAX,Other,,75,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B1_TMIN,Other,,5,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B1_TREF,Other,,40,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B1_X0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B1_X1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B1_X2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B1_X3,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B1_X4,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B1_X5,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B2_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_B2_TMAX,Other,,75,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B2_TMIN,Other,,5,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B2_TREF,Other,,40,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B2_X0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B2_X1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B2_X2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B2_X3,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B2_X4,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B2_X5,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B3_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_B3_TMAX,Other,,75,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B3_TMIN,Other,,5,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B3_TREF,Other,,40,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B3_X0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B3_X1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B3_X2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B3_X3,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B3_X4,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_B3_X5,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_G0_TMAX,Other,,100,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_TMIN,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_TREF,Other,,25,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X0_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X0_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X0_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X1_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X1_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X1_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X2_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X2_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X2_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X3_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X3_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G0_X3_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_G1_TMAX,Other,,100,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_TMIN,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_TREF,Other,,25,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X0_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X0_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X0_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X1_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X1_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X1_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X2_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X2_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X2_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X3_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X3_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G1_X3_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_G2_TMAX,Other,,100,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_TMIN,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_TREF,Other,,25,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X0_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X0_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X0_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X1_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X1_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X1_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X2_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X2_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X2_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X3_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X3_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G2_X3_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_G3_TMAX,Other,,100,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_TMIN,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_TREF,Other,,25,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X0_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X0_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X0_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X1_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X1_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X1_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X2_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X2_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X2_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X3_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X3_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_G3_X3_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TEST_1,Other,,2,,not_exported_by_fs150,metadata default,Testing,Int32,
TEST_2,Other,,4,,not_exported_by_fs150,metadata default,Testing,Int32,
TEST_3,Other,,5,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_D,Other,,0.01,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_DEV,Other,,2,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_D_LP,Other,,10,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_HP,Other,,10,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_I,Other,,0.1,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_I_MAX,Other,,1,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_LP,Other,,10,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_MAX,Other,,1,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_MEAN,Other,,1,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_MIN,Other,,-1,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_P,Other,,0.2,,not_exported_by_fs150,metadata default,Testing,Float,
TEST_PARAMS,Other,,12345678,,not_exported_by_fs150,metadata default,Testing,Int32,
TEST_RC2_X,Other,,16,,not_exported_by_fs150,metadata default,Testing,Int32,
TEST_RC_X,Other,,8,,not_exported_by_fs150,metadata default,Testing,Int32,
TEST_TRIM,Other,,0.5,,not_exported_by_fs150,metadata default,Testing,Float,
TRIG_ACT_TIME,Trigger/camera,,40,,not_exported_by_fs150,metadata default,Camera trigger,Float,
TRIG_DISTANCE,Trigger/camera,,25,,not_exported_by_fs150,metadata default,Camera trigger,Float,
TRIG_INTERFACE,Trigger/camera,,3,,not_exported_by_fs150,rcS:157 set-default,Camera trigger,Int32,
TRIG_INTERVAL,Trigger/camera,,40,,not_exported_by_fs150,metadata default,Camera trigger,Float,
TRIG_MIN_INTERVA,Trigger/camera,,1,,not_exported_by_fs150,metadata default,Camera trigger,Float,
TRIG_PINS,Trigger/camera,,56,,not_exported_by_fs150,metadata default,Camera trigger,Int32,
TRIG_PINS_EX,Trigger/camera,,0,,not_exported_by_fs150,metadata default,Camera trigger,Int32,
TRIG_POLARITY,Trigger/camera,,0,,not_exported_by_fs150,metadata default,Camera trigger,Int32,
TRIG_PWM_NEUTRAL,Trigger/camera,,1500,,not_exported_by_fs150,metadata default,Camera trigger,Int32,
TRIG_PWM_SHOOT,Trigger/camera,,1900,,not_exported_by_fs150,metadata default,Camera trigger,Int32,
TRIM_PITCH,Other,,0,,not_exported_by_fs150,metadata default,Radio Calibration,Float,
TRIM_ROLL,Other,,0,,not_exported_by_fs150,metadata default,Radio Calibration,Float,
TRIM_YAW,Other,,0,,not_exported_by_fs150,metadata default,Radio Calibration,Float,
UUV_DIRCT_PITCH,Other,,0,,not_exported_by_fs150,metadata default,UUV Attitude Control,Float,
UUV_DIRCT_ROLL,Other,,0,,not_exported_by_fs150,metadata default,UUV Attitude Control,Float,
UUV_DIRCT_THRUST,Other,,0,,not_exported_by_fs150,metadata default,UUV Attitude Control,Float,
UUV_DIRCT_YAW,Other,,0,,not_exported_by_fs150,metadata default,UUV Attitude Control,Float,
UUV_GAIN_X_D,Other,,0.2,,not_exported_by_fs150,metadata default,UUV Position Control,Float,
UUV_GAIN_X_P,Other,,1,,not_exported_by_fs150,metadata default,UUV Position Control,Float,
UUV_GAIN_Y_D,Other,,0.2,,not_exported_by_fs150,metadata default,UUV Position Control,Float,
UUV_GAIN_Y_P,Other,,1,,not_exported_by_fs150,metadata default,UUV Position Control,Float,
UUV_GAIN_Z_D,Other,,0.2,,not_exported_by_fs150,metadata default,UUV Position Control,Float,
UUV_GAIN_Z_P,Other,,1,,not_exported_by_fs150,metadata default,UUV Position Control,Float,
UUV_INPUT_MODE,Other,,0,,not_exported_by_fs150,metadata default,UUV Attitude Control,Int32,
UUV_PITCH_D,Other,,2,,not_exported_by_fs150,metadata default,UUV Attitude Control,Float,
UUV_PITCH_P,Other,,4,,not_exported_by_fs150,metadata default,UUV Attitude Control,Float,
UUV_ROLL_D,Other,,1.5,,not_exported_by_fs150,metadata default,UUV Attitude Control,Float,
UUV_ROLL_P,Other,,4,,not_exported_by_fs150,metadata default,UUV Attitude Control,Float,
UUV_SKIP_CTRL,Other,,0,,not_exported_by_fs150,metadata default,Miscellaneous,Int32,
UUV_STAB_MODE,Other,,1,,not_exported_by_fs150,metadata default,UUV Position Control,Int32,
UUV_YAW_D,Other,,2,,not_exported_by_fs150,metadata default,UUV Attitude Control,Float,
UUV_YAW_P,Other,,4,,not_exported_by_fs150,metadata default,UUV Attitude Control,Float,
VT_ARSP_BLEND,VTOL,,8,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_ARSP_TRANS,VTOL,,10,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_B_DEC_FF,VTOL,,0.12,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_B_DEC_I,VTOL,,0.1,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_B_REV_OUT,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_B_TRANS_DUR,VTOL,,4,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_B_TRANS_RAMP,VTOL,,3,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_B_TRANS_THR,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_DWN_PITCH_MAX,VTOL,,5,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_ELEV_MC_LOCK,VTOL,,1,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Int32,
VT_FWD_THRUST_EN,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Int32,
VT_FWD_THRUST_SC,VTOL,,0.7,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_FW_ALT_ERR,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_FW_DIFTHR_EN,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Int32,
VT_FW_DIFTHR_SC,VTOL,,0.1,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_FW_MIN_ALT,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_FW_MOT_OFFID,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Int32,
VT_FW_PERM_STAB,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Int32,
VT_FW_QC_P,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Int32,
VT_FW_QC_R,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Int32,
VT_F_TRANS_DUR,VTOL,,5,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_F_TRANS_THR,VTOL,,1,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_F_TR_OL_TM,VTOL,,6,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_IDLE_PWM_MC,VTOL,,900,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Int32,
VT_MC_ON_FMU,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Int32,
VT_MOT_ID,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Int32,
VT_PSHER_RMP_DT,VTOL,,3,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_TILT_FW,VTOL,,1,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_TILT_MC,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_TILT_SPINUP,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_TILT_TRANS,VTOL,,0.3,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_TRANS_MIN_TM,VTOL,,2,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_TRANS_P2_DUR,VTOL,,0.5,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_TRANS_TIMEOUT,VTOL,,15,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
VT_TYPE,VTOL,,0,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Int32,
WV_GAIN,Other,,1,,not_exported_by_fs150,metadata default,VTOL Attitude Control,Float,
WV_ROLL_MIN,Other,,1,,not_exported_by_fs150,metadata default,Multicopter Position Control,Float,
WV_YRATE_MAX,Other,,90,,not_exported_by_fs150,metadata default,Multicopter Position Control,Float,
ctl_bw,Other,,75,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Int32,
ctl_dir,Other,,1,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Int32,
ctl_gain,Other,,1,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Float,
ctl_hz_idle,Other,,3.5,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Float,
ctl_start_rate,Other,,25,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Int32,
esc_index,Other,,0,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Int32,
gnss.dyn_model,Other,,2,,not_exported_by_fs150,metadata default,UAVCAN GNSS,Int32,
gnss.old_fix_msg,Other,,1,,not_exported_by_fs150,metadata default,UAVCAN GNSS,Int32,
gnss.warn_dimens,Other,,0,,not_exported_by_fs150,metadata default,UAVCAN GNSS,Int32,
gnss.warn_sats,Other,,0,,not_exported_by_fs150,metadata default,UAVCAN GNSS,Int32,
id_ext_status,Other,,20034,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Int32,
int_ext_status,Other,,50000,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Int32,
int_status,Other,,50000,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Int32,
mot_i_max,Other,,12,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Float,
mot_kv,Other,,2300,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Int32,
mot_ls,Other,,0,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Float,
mot_num_poles,Other,,14,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Int32,
mot_rs,Other,,0,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Float,
mot_v_accel,Other,,0.5,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Float,
mot_v_max,Other,,14.8,,not_exported_by_fs150,metadata default,UAVCAN Motor Parameters,Float,
uavcan.pubp-pres,Other,,0,,not_exported_by_fs150,metadata default,UAVCAN GNSS,Int32,
