name,family,fs150_value,sim_iris_value,delta_fs_minus_sim,status,sim_source,px4_group,px4_type,fs_type
CAL_MAG2_ZODIAG,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG2_ZOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG2_ZSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_PRIO,Sensor calibration,,-1,,not_exported_by_fs150,metadata default,Sensor Calibration,Int32,
CAL_MAG3_XCOMP,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_XODIAG,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_XOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_XSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_YCOMP,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_YODIAG,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_YOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_YSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_ZCOMP,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_ZODIAG,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_ZOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG3_ZSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAM_CAP_DELAY,Other,,0,,not_exported_by_fs150,metadata default,Camera Capture,Float,
CAM_CAP_EDGE,Other,,0,,not_exported_by_fs150,metadata default,Camera Control,Int32,
CAM_CAP_MODE,Other,,0,,not_exported_by_fs150,metadata default,Camera Control,Int32,
CBRK_IO_SAFETY,Safety circuit breaker,,22027,,not_exported_by_fs150,metadata default,Circuit Breaker,Int32,
COM_ARM_ARSP_EN,Commander/failsafe,,1,,not_exported_by_fs150,metadata default,Commander,Int32,
EKF2_MULTI_MAG,Estimator,,2,,not_exported_by_fs150,rcS:146 set-default,EKF2,Int32,
EXFW_HDNG_P,Other,,0.1,,not_exported_by_fs150,metadata default,Miscellaneous,Float,
EXFW_PITCH_P,Other,,0.2,,not_exported_by_fs150,metadata default,Miscellaneous,Float,
EXFW_ROLL_P,Other,,0.2,,not_exported_by_fs150,metadata default,Miscellaneous,Float,
FW_ACRO_X_MAX,Fixed-wing,,90,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_ACRO_Y_MAX,Fixed-wing,,90,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_ACRO_Z_MAX,Fixed-wing,,45,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_AIRSPD_MAX,Fixed-wing,,20,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_AIRSPD_MIN,Fixed-wing,,10,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_AIRSPD_STALL,Fixed-wing,,7,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_AIRSPD_TRIM,Fixed-wing,,15,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_ARSP_MODE,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Int32,
FW_ARSP_SCALE_EN,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW Attitude Control,Int32,
FW_BAT_SCALE_EN,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Int32,
FW_CLMBOUT_DIFF,Fixed-wing,,10,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_DTRIM_P_FLPS,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_DTRIM_P_VMAX,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_DTRIM_P_VMIN,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_DTRIM_R_FLPS,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_DTRIM_R_VMAX,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_DTRIM_R_VMIN,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_DTRIM_Y_VMAX,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_DTRIM_Y_VMIN,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_FLAPERON_SCL,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_FLAPS_LND_SCL,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_FLAPS_SCL,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_FLAPS_TO_SCL,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_GND_SPD_MIN,Fixed-wing,,5,,not_exported_by_fs150,metadata default,FW TECS,Float,
FW_L1_DAMPING,Fixed-wing,,0.75,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_L1_PERIOD,Fixed-wing,,20,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_L1_R_SLEW_MAX,Fixed-wing,,90,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_LND_AIRSPD_SC,Fixed-wing,,1.3,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_LND_ANG,Fixed-wing,,5,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_LND_EARLYCFG,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW L1 Control,Int32,
FW_LND_FLALT,Fixed-wing,,3,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_LND_FL_PMAX,Fixed-wing,,15,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_LND_FL_PMIN,Fixed-wing,,2.5,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_LND_HHDIST,Fixed-wing,,15,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_LND_HVIRT,Fixed-wing,,10,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_LND_THRTC_SC,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_LND_TLALT,Fixed-wing,,-1,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_LND_USETER,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW L1 Control,Int32,
FW_MAN_P_MAX,Fixed-wing,,45,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_MAN_P_SC,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_MAN_R_MAX,Fixed-wing,,45,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_MAN_R_SC,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_MAN_Y_SC,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_POSCTL_INV_ST,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW L1 Control,Int32,
FW_PR_FF,Fixed-wing,,0.5,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_PR_I,Fixed-wing,,0.1,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_PR_IMAX,Fixed-wing,,0.4,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_PR_P,Fixed-wing,,0.08,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_PSP_OFF,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_P_LIM_MAX,Fixed-wing,,45,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_P_LIM_MIN,Fixed-wing,,-45,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_P_RMAX_NEG,Fixed-wing,,60,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_P_RMAX_POS,Fixed-wing,,60,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_P_TC,Fixed-wing,,0.4,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_RLL_TO_YAW_FF,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_RR_FF,Fixed-wing,,0.5,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_RR_I,Fixed-wing,,0.1,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_RR_IMAX,Fixed-wing,,0.2,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_RR_P,Fixed-wing,,0.05,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_R_LIM,Fixed-wing,,50,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_R_RMAX,Fixed-wing,,70,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_R_TC,Fixed-wing,,0.4,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_THR_ALT_SCL,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_THR_CRUISE,Fixed-wing,,0.6,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_THR_IDLE,Fixed-wing,,0.15,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_THR_LND_MAX,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_THR_MAX,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_THR_MIN,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_THR_SLEW_MAX,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
FW_TKO_PITCH_MIN,Fixed-wing,,10,,not_exported_by_fs150,metadata default,FW L1 Control,Float,
